All,Epigenetic-Associated,GWAS-Associated,Overlap
IRF7,VEGFA,IRF7,IRF7
BANK1,TGFB1,BANK1,BANK1
TNF,FOSL2,ACE,TNF
NOS3,FGF2,CD226,NOS3
MIF,WIF1,CTGF,MIF
IRAK1,UTP14A,CTLA4,IRAK1
IL1A,SSX2,CXCR2,IL1A
IL10,SMS,FAS,IL10
FAS,SERP1,IL10,FAS
CXCR2,RTL5,IL1A,CXCR2
CTLA4,PRF1,IRAK1,CTLA4
CTGF,PGK1,MIF,CTGF
CD226,MTM1,NOS3,CD226
ACE,LAGE3,TNF,ACE
ULK3,KLF5,ARMC7,ULK3
TSPAN32,IL1RAPL2,CSK,TSPAN32
TNIP1,HSFX1,DDX6,TNIP1
NEMP2,FOXP3,DGKQ,NEMP2
SCAMP2,FLI1,FLNB,SCAMP2
ORMDL3,DKK1,GGA3,ORMDL3
NT5C,ITGAL,GSDMB,NT5C
NAB1,CCDC22,IKZF3,NAB1
MAST3,BMPR2,IL12RB2,MAST3
IRF4,ARX,IRF4,IRF4
IL12RB2,ARAF,MAST3,IL12RB2
IKZF3,TYK2,NAB1,IKZF3
GSDMB,IL12RB1,NT5C,GSDMB
GGA3,IL12A,ORMDL3,GGA3
FLNB,DNASE1L3,SCAMP2,FLNB
DGKQ,TNFAIP3,NEMP2,DGKQ
DDX6,STAT4,TNIP1,DDX6
CSK,IRF5,TSPAN32,CSK
ARMC7,ATG5,ULK3,ARMC7
TNFSF4,,BLK,TNFSF4
PTPN22,,CD247,PTPN22
PPARG,,IRF8,PPARG
IRF8,,PPARG,IRF8
CD247,,PTPN22,CD247
BLK,,TNFSF4,BLK
TNFAIP3,,IRF5,TNFAIP3
STAT4,,STAT4,STAT4
IRF5,,TNFAIP3,IRF5
ATG5,,ATG5,ATG5
NOTCH4,,NOTCH4,NOTCH4
VEGFA,,ATP8B4,VEGFA
TGFB1,,ASCC3,TGFB1
FOSL2,,HLA-DQB1,FOSL2
FGF2,,OPCML,FGF2
WIF1,,SEMA3A,WIF1
UTP14A,,TNPO3,UTP14A
SSX2,,TNXB,SSX2
SMS,,PGRMC1,SMS
SERP1,,SSR4,SERP1
RTL5,,ENOX2,RTL5
PRF1,,ZNF41,PRF1
PGK1,,PDGFA,PGK1
MTM1,,PDGFRA,MTM1
LAGE3,,PIGF,LAGE3
KLF5,,CCL2,KLF5
IL1RAPL2,,SLC26A1,IL1RAPL2
HSFX1,,RHOB,HSFX1
FOXP3,,,FOXP3
FLI1,,,FLI1
DKK1,,,DKK1
ITGAL,,,ITGAL
CCDC22,,,CCDC22
BMPR2,,,BMPR2
ARX,,,ARX
ARAF,,,ARAF
TYK2,,,TYK2
IL12RB1,,,IL12RB1
IL12A,,,IL12A
DNASE1L3,,,DNASE1L3
ATP8B4,,,ATP8B4
ASCC3,,,
HLA-DQB1,,,
OPCML,,,
SEMA3A,,,
TNPO3,,,
TNXB,,,
PGRMC1,,,
SSR4,,,
ENOX2,,,
ZNF41,,,
PDGFA,,,
PDGFRA,,,
PIGF,,,
CCL2,,,
SLC26A1,,,
RHOB,,,
PSORS1C1,,,
